Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
27.TONC, 28.DCLB,    1, 1.40209e+02,   5, 1.40000e+01,   8,   5, LD, 1.40209e+02,   0,   0,   1
28.DCLB, 29.DCLM,    1, 1.42059e+02,   5, 1.40000e+01,   8,   5, LD, 1.42059e+02,   0,   0,   1
29.DCLM, 30.DCLC,    1, 1.43909e+02,   5, 1.40000e+01,   8,   5, LD, 1.43909e+02,   0,   0,   1
30.DCLC, 31.RSTC,    1, 1.43909e+02,   5, 1.40000e+01,   8,   5, LD, 1.43909e+02,   0,   0,   1
31.RSTC, 04.RTSC,    1, 1.43909e+02,   5, 1.40000e+01,   8,   5, LD, 1.43909e+02,   0,   0,   1
04.RTSC, 06.RSUB,    1, 1.43909e+02,   5, 1.40000e+01,   5,   1, LD, 1.43909e+02,   0,   0,   1
06.RSUB, 07.RSUM,    1, 1.45459e+02,   4, 1.35125e+01,   5,   1, LD, 1.45459e+02,   0,   0,   1
07.RSUM, 08.RSUC,    1, 1.47009e+02,   4, 1.20500e+01,   5,   1, LD, 1.47009e+02,   0,   0,   1
08.RSUC, 09.RCOB,    1, 1.47009e+02,   4, 1.20500e+01,   5,   1, LD, 1.47009e+02,   0,   0,   1
09.RCOB, 10.RCOM,    1, 1.50376e+02,   3, 7.00000e+00,   5,   1, LD, 1.50376e+02,   0,   0,   1
10.RCOM, 05.RTSR,    1, 1.53743e+02,   1, 1.95000e+00,   5,   1, LD, 1.53743e+02,   0,   0,   1
05.RTSR, 11.RCOC,    1, 1.53743e+02,   1, 1.95000e+00,   5,   1, LD, 1.53743e+02,   0,   0,   1
11.RCOC, 12.RSDB,    1, 1.53743e+02,   1, 1.95000e+00,   5,   1, LD, 1.53743e+02,   0,   0,   1
12.RSDB, 13.RSDM,    1, 1.53743e+02,   1, 4.87500e-01,   5,   1, LD, 1.53743e+02,   0,   0,   1
13.RSDM, 14.RSDC,    1, 1.56843e+02,   1, 0.00000e+00,   5,   1, LD, 1.56843e+02,   0,   0,   1
14.RSDC, 15.RSTB,    1, 1.56843e+02,   1, 0.00000e+00,   5,   1, LD, 1.56843e+02,   0,   0,   1
15.RSTB, 16.RSTM,    1, 1.56843e+02,   1, 0.00000e+00,   5,   1, LD, 1.56843e+02,   0,   0,   1
16.RSTM, 17.DOPB,    1, 1.56843e+02,   1, 0.00000e+00,   5,   1, LD, 1.56843e+02,   0,   0,   1
17.DOPB, 18.DOPM,    1, 1.57893e+02,   1, 0.00000e+00,   5,   1, LD, 1.57893e+02,   0,   0,   1
18.DOPM, 19.DOPC,    1, 1.58943e+02,   1, 0.00000e+00,   5,   1, LD, 1.58943e+02,   0,   0,   1
19.DOPC, 20.TOFP,    1, 1.58943e+02,   1, 0.00000e+00,   5,   1, LD, 1.58943e+02,   0,   0,   1
20.TOFP, 21.TOFB,    1, 1.58943e+02,   1, 0.00000e+00,   5,   1, LD, 1.58943e+02,   0,   0,   1
21.TOFB, 22.TOFM,    1, 1.58943e+02,   1, 0.00000e+00,   5,   1, LD, 1.58943e+02,   0,   0,   1
22.TOFM, 23.TOFC,    1, 1.59743e+02,   1, 0.00000e+00,   5,   1, LD, 1.59743e+02,   0,   1,   0
23.TOFC, 24.TONP,    1, 1.59743e+02,   1, 0.00000e+00,   5,   1, LD, 1.59743e+02,   0,   0,   0
24.TONP, 25.TONB,    1, 1.59743e+02,   1, 0.00000e+00,   5,   1, LD, 1.59743e+02,   0,   0,   0
25.TONB, 26.TONM,    1, 1.60543e+02,   1, 0.00000e+00,   5,   1, LD, 1.60543e+02,   1,   0,   1
26.TONM, 27.TONC,    1, 1.62143e+02,   1, 0.00000e+00,   5,   1, LD, 1.62143e+02,   2,   0,   3
27.TONC, 28.DCLB,    1, 1.62143e+02,   1, 0.00000e+00,   5,   1, LD, 1.62143e+02,   0,   0,   3
28.DCLB, 29.DCLM,    1, 1.63993e+02,   1, 0.00000e+00,   5,   1, LD, 1.63993e+02,   0,   0,   3
29.DCLM, 30.DCLC,    1, 1.65843e+02,   1, 0.00000e+00,   5,   1, LD, 1.65843e+02,   0,   0,   3
30.DCLC, 31.RSTC,    1, 1.65843e+02,   1, 0.00000e+00,   5,   1, LD, 1.65843e+02,   0,   0,   3
