 NowState :   Stat: 20.TOFP, NowState :   Stat: 21.TOFB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.80092e+01, Hc=   2
 NowState :   Stat: 21.TOFB, NowState :   Stat: 22.TOFM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.80092e+01, Hc=   2
 NowState :   Stat: 22.TOFM, NowState :   Stat: 23.TOFC, itv      : 0.800000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.88092e+01, Hc=   1
 NowState :   Stat: 23.TOFC, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.88092e+01, Hc=   1
 NowState :   Stat: 24.TONP, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=9.88092e+01, Hc=   1
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.00659e+02, Hc=   1
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.02509e+02, Hc=   1
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.02509e+02, Hc=   1
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   1, Arr=   2, Dir=LU, Clt=1.02509e+02, Hc=   1
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   2, Arr=   8, Dir=LU, Clt=1.02509e+02, Hc=   1
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   2	Pos=   2, hw=3.98750e+00, Dep=   2, Arr=   8, Dir=LU, Clt=1.04059e+02, Hc=   1
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   2	Pos=   2, hw=5.45000e+00, Dep=   2, Arr=   8, Dir=LU, Clt=1.05609e+02, Hc=   1
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=5.45000e+00, Dep=   2, Arr=   8, Dir=LU, Clt=1.05609e+02, Hc=   1
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 5.700000	 Cycle=   2	Pos=   5, hw=1.40000e+01, Dep=   2, Arr=   8, Dir=LU, Clt=1.11309e+02, Hc=   1
 NowState :   Stat: 10.RCOM, NowState :   Stat: 05.RTSR, itv      : 5.700000	 Cycle=   2	Pos=   7, hw=2.25500e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.17009e+02, Hc=   1
 NowState :   Stat: 05.RTSR, NowState :   Stat: 11.RCOC, itv      : 0.000000	 Cycle=   2	Pos=   7, hw=2.25500e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.17009e+02, Hc=   1
 NowState :   Stat: 11.RCOC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   2	Pos=   7, hw=2.25500e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.17009e+02, Hc=   1
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   2	Pos=   7, hw=2.40125e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.17009e+02, Hc=   1
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.100000	 Cycle=   2	Pos=   8, hw=2.45000e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.20109e+02, Hc=   1
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   3	Pos=   8, hw=2.45000e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.20109e+02, Hc=   1
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   3	Pos=   8, hw=2.45000e+01, Dep=   2, Arr=   8, Dir=UU, Clt=1.20109e+02, Hc=   1
